Id,Text
1,"As a user, I want to search and discover music using content identification or fingerprinting.	"
2,"As a user, I want to search and discover music based on my profile.	"
3,"As a user, I want to search and discover music based on other users similar to myself.	"
4,"As a user, I want to search and discover music or ringback tones similar to a given music video based on content similarity.	"
5,"As a user, I want to search and discover music by exploiting enriched metadata and image tags, so that I find related artists, new genre, or other relevant listening path."
6,"As a user, I want to upload tagged videos and have tags available for all further processing steps.	"
7,"As a user, I want to view thumbnail sequences of video segments.	"
8,"As a user, I want to get info about similar video items and segments.	"
9,"As a user, I want to get info about perceptually similar video items and segments.	"
10,"As a user, I want to receive content recommendations from similar profiles."
11,"As a user, I want to receive content recommendations based on most relevant news events in my area.	"
12,"As a user, I want to identify persons in videos, and receive related information about them.	"
13,"As a user, I want to identify products in videos, and receive related information about them.	"
14,"As a user, I want to identify broadcaster logos in videos, and receive related information about them.	"
15,"As a user, I want to identify brands in videos, and receive related information about them.	"
16,"As a user, I want to take a picture or upload an image, so that I am recommended with videos related to that picture or image.	"
17,"As a user, I want to walk around, access content using a geographical map and be informed if there are videos covering the area, monuments or any other relevant point of interest.	"
18,"As a user, I want to search content items using automatic speech recognition.	"
19,"As an admin, I want to see, validate and edit segmentation of videos.	"
20,"As an admin, I want to annotate news video segments and extract a topic for each segment.	"
21,"As an admin, I want to filter and rank videos based on A/V quality aspects.	"
22,"As an admin, I want to get a quick assessment of whether audio material has been edited before the upload.	"
23,"As an admin, I want to prefilter nudity content.	"
24,"As an admin, I want to prefilter content using search based on low�level asset information.	"
25,"As an admin, I want to automatically validated the ingested contents for copyright infringement.	"
26,"As an admin, I want to prefilter the content using search on high�level asset information such as metadata and tags either recognized by the system of provided by the user.	"
27,"As a Zooniverse admin, I want to assess how interesting or appealing or complex a picture is based on automated analysis, citizen annotations, and comments on Talk.	"
28,"As a Zooniverse admin, I want to detect when a scientist should be prompted to look at a subject, based on annotations and information from Talk comments.	"
29,"As a Zooniverse admin, I want to identify volunteer types."
30,"As a Zooniverse admin, I want to preclassify the Galaxy Zoo images using simple low�level image features.	"
31,"As a Zooniverse admin, I want to automatically detect Snapshot Serengeti images with no classifiable animals in them."
32,"As a Zooniverse admin, I want to perform automatic image series detection for the case of timestamping malfunction in Snapshot Serengeti images.	"
33,"As a Zooniverse admin, I want to perform automatic animal species preclassification in Snapshot Serengeti.	"
34,"As a Zooniverse admin, I want to perform automatic animal attribute preclassification in Snapshot Serengeti.	"
35,"As a Zooniverse admin, I want to perform automatic animal number detection in Snapshot Serengeti.	"
36,"As a Zooniverse admin, I want to perform automatic segmentation or localization of plankton in Plankton Portal.	"
37,"As a Zooniverse admin, I want to automatically detect Plankton Portal images with no classifiable plankton in them.	"
38,"As a Zooniverse admin, I want to perform automatic detection of plankton size or orientation in Plankton Portal images.	"
39,"As a Zooniverse admin, I want to perform automatic preclassification of plankton species in Plankton Portal images.	"
40,"As a Zooniverse admin, I want to perform automatic worm motion analysis to reduce video duration in Worm Watch Lab.	"
41,"As a Zooniverse admin, I want to automatically detect the time in a Worm Watch Lab video where the worm lays an egg.	"
42,"As a Zooniverse admin, I want to detect important features such as areas of flooding, damage, temporary shelters, blocked roads etc in the satellite images.	"
43,"As a Zooniverse admin, I want to assess the probability/weight of a volunteer�s classification based on their experience.	"
44,"As a Zooniverse admin, I want to perform prefiltering of the images to remove artefacts such as bright stars and camera read errors.	"
45,"As a Zooniverse admin, I want to detect moving and transient objects in the images.	"
46,"As a Zooniverse admin, I want to remove background noise and distracting sounds from the audio files.	"
47,"As a Zooniverse admin, I want to group whale calls that are similar.	"
48,"As a Zooniverse admin, I want to identify the number of whales heard in a single audio file.	"
49,"As a Zooniverse admin, I want to know when I should interrupt a volunteer.	"
50,"As a Zooniverse admin, I want to know whether I should interrupt a volunteer with text, an image, or a video.	"
51,"As a Zooniverse admin, I want to know when I should educate a volunteer.	"
52,"As a Zooniverse admin, I want to know whether I should educate a volunteer with text, an image, or a video.	"
53,"As a Zooniverse admin,I want to know which piece of education I should give to a volunteer.	"
54,"As a Zooniverse admin, I want to know when a volunteer has made an interesting comment on a subject.	"
55,"As a Zooniverse admin, I want to know when Zoonibot should comment on a subject."
56,"As a Zooniverse admin, I want to know when Zoonibot should give an explanation.	"
57,"As a Zooniverse admin, I want to know what Zoonibot should say to a volunteer.	"
58,"As a Zooniverse admin, I want to group subjects by similarity.	"
59,"As a Zooniverse admin, I want to recommend different projects to volunteers based on their previous experiences.	"
60,"As an admin, I want to see a summary of articles, so that I reuse them.	"
