Comparing this output,,
https://github.com/Yousif-FJ/RE-Ambiguity-Detection-Experiment/blob/main/OpenReq/Results/2009%20-%20email.json,,
With this input,,
https://github.com/Yousif-FJ/RE-Ambiguity-Detection-Experiment/blob/main/OpenReq/Intermediate%20artificates/2009%20-%20email.csv,,
,,
Email Sample ,,
Id.Index,Is output useful?,
1.10.0,yes,
1.10.1,yes,
1.10.2,no,
1.10.3,yes,
1.10.4,yes,
1.10.5,no,
1.10.6,yes,
1.11.0,yes,
1.11.1,yes,
1.13.0,no,
1.14.0,no,
1.14.1,no,
1.14.2,yes,
1.16.0,yes,
1.17.0,no,
1.18.0,no,clear mistake
1.18.1,no,
1.18.2,yes,
1.18.3,yes,
1.20.0,no,
1.21.0,yes,
1.22.0,yes,
1.22.1,yes,
1.22.2,no,
1.22.3,no,
1.22.4,yes,
1.24.0,yes,
1.24.1,no,
1.24.2,yes,
1.25.0,no,
1.25.1,no,
1.26.0,yes,
1.26.1,yes,
1.26.2,yes,
1.27.0,no,
1.27.1,no,
1.27.2,no,
1.27.3,no,
1.28.0,no,
1.29.0,no,
1.30.0,yes,
1.30.1,yes,
1.32.0,yes,
1.33.0,no,
1.33.1,no,
1.34.0,yes,
1.35.0,no,
1.35.1,yes,
1.35.2,yes,
1.35.3,no,
1.36.0,yes,
1.36.1,no,
1.37.0,yes,
1.37.1,yes,
1.38.0,no,
1.38.1,yes,
1.39.0,no,
1.39.1,no,
1.4.0,no,
1.40.0,yes,
1.40.1,no,
1.40.2,no,
1.41.0,yes,
1.41.1,yes,
1.41.2,yes,
1.41.3,no,
1.42.0,yes,
1.42.1,yes,
1.42.2,yes,
1.43.0,yes,
1.43.1,yes,
1.45.0,yes,
1.45.1,yes,
1.46.0,yes,
1.46.1,yes,
1.46.2,yes,
1.47.0,yes,
1.48.0,no,
1.48.1,yes,
1.48.2,no,
1.49.0,yes,
1.49.1,yes,
1.49.2,yes,
1.49.3,yes,
1.49.4,yes,
1.49.5,yes,
1.49.6,yes,
1.49.7,yes,
1.49.8,yes,
1.49.9,yes,
1.49.10,yes,
1.49.11,yes,
1.49.12,yes,
1.5.0,no,
1.5.1,no,
1.5.2,no,
1.50.0,yes,
1.50.1,yes,
1.51.0,yes,
1.51.1,no,
1.52.0,yes,
1.52.1,no,
1.53.0,no,
1.53.1,no,
1.54.0,no,
1.55.0,no,
1.56.0,no,
1.57.0,yes,
1.57.1,no,
1.57.2,yes,
1.58.0,yes,
1.58.1,no,
1.58.2,no,
1.58.3,yes,
1.58.4,yes,
1.59.0,no,
1.59.1,yes,
1.60.0,yes,
1.60.1,no,
1.60.2,no,
1.60.3,no,
1.61.0,no,
1.61.1,no,
1.62.0,no,
1.62.1,no,
1.63.0,no,
1.63.1,no,
1.64.0,no,
1.65.0,yes,
1.65.1,yes,
1.66.0,no,
1.67.0,no,
1.67.1,yes,
1.68.0,yes,
1.68.1,yes,
1.70.0,yes,
1.72.0,yes,
1.73.0,yes,
1.73.1,yes,
1.74.0,yes,
1.74.1,yes,
1.76.0,yes,
1.77.0,yes,
1.77.1,no,
1.77.2,yes,
1.77.3,yes,
1.8.0,yes,
1.8.1,no,
1.8.2,yes,
1.9.0,no,
1.9.1,yes,
yes count:,88,
no counr,63,
